 (4.612040391631892500e-01+8.872941080946944448e-01j)
 (9.668738037428055154e-01+2.552548679965159772e-01j)
 (-3.466353178350258246e-01+9.379999767747388972e-01j)
 (-9.273677030509746011e-01+3.741512305712215714e-01j)
 (4.161468365471421849e-01+9.092974268256818204e-01j)
 (-5.403023058681400981e-01+8.414709848078962828e-01j)
 (-5.403023058681392099e-01-8.414709848078968379e-01j)
 (4.161468365471427955e-01-9.092974268256814874e-01j)
 (-3.466353178350258246e-01-9.379999767747388972e-01j)
 (8.390715290764524381e-01+5.440211108893697745e-01j)
 (-3.466353178350258246e-01-9.379999767747388972e-01j)
 (-9.273677030509746011e-01+3.741512305712215714e-01j)
 (-3.466353178350258246e-01+9.379999767747388972e-01j)
 (9.668738037428055154e-01+2.552548679965159772e-01j)
 (4.612040391631892500e-01+8.872941080946944448e-01j)
 (8.390715290764524381e-01-5.440211108893697745e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j)
 (7.808456847309714899e-01-6.247239523477712275e-01j)
 (9.712700591973172370e-01+2.379799825759299492e-01j)
 (9.962120905808294902e-01-8.695671670764194838e-02j)
 (9.712700600661452466e-01+2.379799790299735596e-01j)
 (7.808456813397892660e-01-6.247239565864272093e-01j)
 (7.808456836050211569e-01+6.247239537551023680e-01j)
 (9.962120911292061676e-01-8.695671042521245508e-02j)
 (4.612040391658829286e-01+8.872941080932943425e-01j)
 (-3.882410291397719315e-01-9.215578675766871175e-01j)
 (9.155339757654217259e-01-4.022406483924271803e-01j)
 (-7.073720166751686078e-02+9.974949866040676572e-01j)
 (-1.000000000000000000e+00+2.655318707259956326e-12j)
 (-7.073720166788874386e-02-9.974949866040412338e-01j)
 (9.728839459801165157e-01+2.312938123992031580e-01j)
 (-3.760215288164121816e-02+9.992927889756163529e-01j)
 (-9.875147712984766457e-01+1.575264310118066058e-01j)
